image,sigma,median_size,threshold_method,threshold_value,open_size,close_size,dice
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,0,2,0.5567995069843878
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,0,3,0.5535586643520882
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,2,0,0.5629993211842723
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,2,2,0.5561629706034038
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,2,3,0.5532810014878662
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,3,0,0.5586656845206777
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,3,2,0.5521829521829522
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,3,3,0.549589126053026
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,0,0,0.5262981761392158
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,0,2,0.5235480113163588
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,0,3,0.5229256435752956
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,2,0,0.525726443088293
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,2,2,0.5230803496853945
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,2,3,0.5224575801264278
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,3,0,0.5145603618886062
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,3,2,0.5119811002362471
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-400,3,3,0.5111821086261981
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-300,0,0,0.47446947631219166
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-300,0,2,0.47419373997743064
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-300,0,3,0.47437722419928824
